review,final_text,label
Estoy muy satisfecho con este artículo. Funciona de maravilla.,estoy muy satisfecho con este artculo funciona de maravilla,2
Extremely poor quality. Looks nothing like the picture.,extremely poor quality looks nothing like picture,0
"Qualité moyenne, rien d'exceptionnel mais ça fonctionne.",qualit moyenne rien dexceptionnel mais fonctionne,2
¡Me encanta este producto! lo mejor que he comprado este año.,encanta este producto lo mejor que comprado este ao,2
The worst product I have ever purchased. Total disappointment.,worst product ever purchased total disappointment,0
Ich LIEBE dieses Produkt! ⭐⭐⭐,ich liebe dieses produkt,2
"Top-notch quality, exactly what I needed.",topnotch quality exactly needed,2
La peor compra de mi vida. Calidad lamentable.,la peor compra de mi vida calidad lamentable,0
"Speedy delivery, well packaged, and exactly as described.",speedy delivery well packaged exactly described,2
"Bin begeistert! Qualität top, Lieferung blitzschnell.",bin begeistert qualitt top lieferung blitzschnell,2
Exactly what I was looking for. Great price.,exactly looking great price,2
"Brilliant product, can't fault it at all.",brilliant product cant fault,2
"Perfecto, nada que reprochar. Volvería a comprar.",perfecto nada que reprochar volvera comprar,2
Three stars — meets the minimum expectations.,three stars meets minimum expectations,2
Muy buena relación calidad-precio. Repetiré la compra.,muy buena relacin calidadprecio repetir la compra,2
Ich liebe dieses Produkt! ⭐⭐⭐,ich liebe dieses produkt,2
Great value for money. Highly recommend to everyone.,great value money highly recommend everyone,2
Produkt nach zwei Tagen kaputt. Totaler Schrott.,produkt nach zwei tagen kaputt totaler schrott,0
Very pleased with this purchase. Quick delivery too!,pleased purchase quick delivery,2
Product is as described. Shipping took longer than expected.,product described shipping took longer expected,1
Furchtbar. Sofort zurückgeschickt. Komplette Geldverschwendung.,furchtbar sofort zurckgeschickt komplette geldverschwendung,2
"Solid build, attractive design, works as advertised. Love it.",solid build attractive design works advertised love,2
Product arrived quickly and looks exactly as DESCRIBED. Very happy.,product arrived quickly looks exactly described happy,2
Estoy muy satisfecho con este artículo. Funciona de maravilla.,estoy muy satisfecho con este artculo funciona de maravilla,2
Ausgezeichnetes Produkt. Übertrifft ALLE meine Erwartungen. 👍,ausgezeichnetes produkt bertrifft alle meine erwartungen,2
Fantastisches Produkt zu einem fairen Preis. Top!,fantastisches produkt zu einem fairen preis top,2
Outstanding customer experience from start to finish.,outstanding customer experience start finish,2
Super produit! Exactly comme décrit. Livraison express. Bravo!,super produit exactly comme dcrit livraison express bravo,2
Livraison rapide et produit conforme à la description. Parfait!,livraison rapide et produit conforme la description parfait,2
Wunderbar! Genau was ich gesucht habe.,wunderbar genau ich gesucht habe,2
"Top-notch quality, exactly what I needed.",topnotch quality exactly needed,2
"Perfecto, nada que reprochar. Volvería a comprar.",perfecto nada que reprochar volvera comprar,2
Good value for money. Highly recommend it!,good value money highly recommend,2
Awful. Returned it immediately. Complete waste of money.,awful returned immediately complete waste money,0
"Brilliant product, can't fault it at all.",brilliant product cant fault,2
Do NOT buy this. Cheap rubbish that breaks immediately.,buy cheap rubbish breaks immediately,0
In ORDNUNG. Bin weder begeistert noch enttäuscht.,ordnung bin weder begeistert noch enttuscht,1
Fantastic ITEM! Exceeded all my expectations.,fantastic item exceeded expectations,2
Absolutely love this product! Best purchase I've made this year.,absolutely love product best purchase ive made year,2
TOLLE Qualität und super Preis-Leistungs-Verhältnis. Empfehle es. 😊,tolle qualitt und super preisleistungsverhltnis empfehle es,1
Perfekte Verarbeitung. Sieht noch besser aus als auf dem Foto.,perfekte verarbeitung sieht noch besser aus als auf dem foto,2
Calidad excepcional para el precio. Muy recomendable.,calidad excepcional para el precio muy recomendable,2
Great value for money. Highly recommend to everyone.,great value money highly recommend everyone,2
Good value for money. Highly recommend it!,good value money highly recommend,2
"Speedy delivery, well packaged, and exactly as described.",speedy delivery well packaged exactly described,2
Mittelmäßig. Habe Besseres für den Preis erwartet. !!!,mittelmig habe besseres fr den preis erwartet,1
Perfect gift idea. Delivery was speedy and packaging was great.,perfect gift idea delivery speedy packaging great,2
Aceptable para el precio. No esperes calidad premium.,aceptable para el precio esperes calidad premium,1
Llegó en perfectas condiciones y es tal y como se describe.,lleg en perfectas condiciones es tal como se describe,2
Qualité irréprochable et service CLIENT excellent.,qualit irrprochable et service client excellent,2
"Producto perfecto, llegó antes de lo esperado. Muy contento. ⭐",producto perfecto lleg antes de lo esperado muy contento,2
Llegó dañado y el proceso de devolución fue una PESADILLA.,lleg daado el proceso de devolucin fue una pesadilla,0
Fairly standard. Met my basic expectations.,fairly standard met basic expectations,0
Je suis vraiment content de cet achat. JE recommande vivement.,je suis vraiment content de cet achat je recommande vivement,2
"Average product, nothing to write home about.",average product nothing write home,1
Really impressed with the build quality. Would buy again.,really impressed build quality would buy,1
Three stars — meets the minimum expectations.,three stars meets minimum expectations,1
"Belle qualité, prix raisonnable. Très bonne expérience d'achat.",belle qualit prix raisonnable trs bonne exprience dachat,2
It is okay. Nothing special but it works as described.,okay nothing special works described,1
This is genuinely one of the best products I have bought online.,genuinely one best products bought online,2
Broken on arrival. Return process was a nightmare.,broken arrival return process nightmare,2
Three stars — MEETS the minimum expectations.,three stars meets minimum expectations,1
Aceptable para el precio. No esperes calidad premium.,aceptable para el precio esperes calidad premium,1
¡Fantástico! Supera todas mis expectativas. Cinco estrellas.,fantstico supera todas mis expectativas cinco estrellas,2
¡Increíble! Me encanta mucho.,increble encanta mucho,2
"Brilliant PRODUCT, can't fault it at all.",brilliant product cant fault,2
Qualité irréprochable et service client excellent.,qualit irrprochable et service client excellent,2
Decent enough. Not sure I would buy it again though.,decent enough sure would buy though,2
Me ha sorprendido gratamente. Muy buena compra.,ha sorprendido gratamente muy buena compra,2
Mittelmäßig. Habe Besseres für den Preis erwartet.,mittelmig habe besseres fr den preis erwartet,1
Three stars — meets the minimum expectations.,three stars meets minimum expectations,1
Extremely poor quality. Looks nothing like the picture.,extremely poor quality looks nothing like picture,0
Perfect gift idea. Delivery was speedy and packaging was great.,perfect gift idea delivery speedy packaging great,2
"EXCELLENT product, highly recommend! BEST EVER!!!",excellent product highly recommend best ever,2
Acceptable quality. Could be improved.,acceptable quality could improved,1
Bin sehr happy mit dem KAUF. Alles wie beschrieben.,bin sehr happy mit dem kauf alles wie beschrieben,2
Absolutely love this product! Best purchase I've made this year.,absolutely love product best purchase ive made year,2
"Perfecto, nada que reprochar. Volvería a comprar.",perfecto nada que reprochar volvera comprar,2
Délai de livraison excessif et produit endommagé. 1 étoile.,dlai de livraison excessif et produit endommag 1 toile,0
This is genuinely one of the BEST products I have bought online.,genuinely one best products bought online,2
"Funktioniert wie beschrieben. Nicht mehr, nicht weniger.",funktioniert wie beschrieben nicht mehr nicht weniger,1
C'est correct pour le prix. lol,cest correct pour le prix lol,1
VERY pleased with this purchase. Quick delivery too!!,pleased purchase quick delivery,2
Produkt ist genau wie beschrieben. Sehr schnelle Lieferung.,produkt ist genau wie beschrieben sehr schnelle lieferung,2
Excellent quality and fast shipping. Will definitely buy again.,excellent quality fast shipping definitely buy,2
Do NOT buy this. Cheap rubbish that breaks immediately.,buy cheap rubbish breaks immediately,2
Perfect gift idea. Delivery was speedy and packaging was great.,perfect gift idea delivery speedy packaging great,2
"Top-notch quality, exactly what I needed.",topnotch quality exactly needed,2
"Lieferung war langsam, aber Produkt ist GUT.",lieferung war langsam aber produkt ist gut,1
Great value for money. Highly recommend to everyone.,great value money highly recommend everyone,2
Outstanding customer experience from start to finish.,outstanding customer experience start finish,2
"Solid build, ATTRACTIVE design, works as advertised. Love it.",solid build attractive design works advertised love,2
"Sehr gutes Produkt, bin sehr zufrieden. Gerne wieder!",sehr gutes produkt bin sehr zufrieden gerne wieder,2
Excellent! Je suis très satisfait. Cinq étoiles méritées.,excellent je suis trs satisfait cinq toiles mrites,2
Extremely poor quality. Looks nothing like the picture. !!!,extremely poor quality looks nothing like picture,0
Produit de très bonne qualité. Je recommande sans hésitation.,produit de trs bonne qualit je recommande sans hsitation,2
Produit cassé à la réception. Service client inexistant.,produit cass la rception service client inexistant,0
¡Increíble! Me encanta mucho.,increble encanta mucho,2
"Rien de spécial, commande correctement traitée.",rien de spcial commande correctement traite,1
Fantastisches Produkt zu einem fairen Preis. Top!,fantastisches produkt zu einem fairen preis top,2
"Mauvaise qualité, ne ressemble pas du tout aux photos.",mauvaise qualit ne ressemble pas du tout aux photos,0
Good value for money. Highly recommend it!,good value money highly recommend,2
Outstanding customer experience from start to finish.,outstanding customer experience start finish,2
Product arrived quickly and looks exactly as described. Very happy.,product arrived quickly looks exactly described happy,2
This is genuinely one of the best products I have bought online.,genuinely one best products bought online,2
Très content de mon achat. Le produit est encore mieux en vrai.,trs content de mon achat le produit est encore mieux en vrai,2
Good VALUE for money. Highly recommend it!,good value money highly recommend,2
Okay for the price. Don't expect premium quality.,okay price dont expect premium quality,1
Sehr enttäuscht. Das Produkt ist kaputt angekommen.,sehr enttuscht das produkt ist kaputt angekommen,0
Fairly standard. Met my basic expectations.,fairly standard met basic expectations,1
Fantastic item! Exceeded all my expectations.,fantastic item exceeded expectations,2
Really impressed with the build quality. Would buy again.,really impressed build quality would buy,2
Très content de mon achat. Le produit est encore mieux en vrai.,trs content de mon achat le produit est encore mieux en vrai,2
"Sehr gutes Produkt, bin sehr zufrieden. Gerne wieder!",sehr gutes produkt bin sehr zufrieden gerne wieder,2
Produkt nach zwei Tagen kaputt. Totaler Schrott.,produkt nach zwei tagen kaputt totaler schrott,0
Really impressed with the build quality. Would buy again.,really impressed build quality would buy,2
Terrible experience. The item arrived broken and support was useless.,terrible experience item arrived broken support useless,0
Okay for the price. Don't expect premium QUALITY.,okay price dont expect premium quality,1
"Top-notch quality, EXACTLY what I needed.",topnotch quality exactly needed,2
Terrible servicio al cliente. Jamás volvería a comprar aquí.,terrible servicio al cliente jams volvera comprar aqu,0
Awful. Returned it IMMEDIATELY. Complete waste of money.,awful returned immediately complete waste money,0
Calidad premium a un precio justo. Muy satisfecho.,calidad premium un precio justo muy satisfecho,2
Fairly standard. Met my basic expectations.!,fairly standard met basic expectations,1
Aceptable para el precio. No esperes calidad premium.,aceptable para el precio esperes calidad premium,1
Great value for money. Highly recommend to everyone.,great value money highly recommend everyone,2
"Brilliant product, can't fault it at all.",brilliant product cant fault,2
Good value for money. Highly recommend it!,good value money highly recommend,2
Llegó dañado Y el proceso de devolución fue una pesadilla.,lleg daado el proceso de devolucin fue una pesadilla,0
"Speedy delivery, well packaged, and exactly as described.",speedy delivery well packaged exactly described,2
Katastrophale Erfahrung. Ich möchte mein Geld zurück.,katastrophale erfahrung ich mchte mein geld zurck,2
Produit de très bonne qualité. Je recommande sans hésitation. ⭐,produit de trs bonne qualit je recommande sans hsitation,2
Great value for money. Highly recommend to everyone.,great value money highly recommend everyone,2
Ich liebe dieses Produkt! ⭐⭐⭐,ich liebe dieses produkt,2
Me ha sorprendido gratamente. Muy buena compra.,ha sorprendido gratamente muy buena compra,2
"Funciona, aunque la calidad deja algo que desear.",funciona aunque la calidad deja algo que desear,1
Calidad premium a un precio justo. Muy satisfecho.,calidad premium un precio justo muy satisfecho,2
Vraiment impressionné par la qualité. Je rachèterai.,vraiment impressionn par la qualit je rachterai,2
Falsely advertised. I want my money BACK. ⭐,falsely advertised want money back,2
Outstanding customer experience from start to finish.,outstanding customer experience start finish,2
"Producto perfecto, llegó antes de lo esperado. Muy contento.",producto perfecto lleg antes de lo esperado muy contento,2
Exactly what I was looking for. Great price.,exactly looking great price,2
"Perfecto, nada que reprochar. Volvería a comprar.",perfecto nada que reprochar volvera comprar,2
¡Una estafa! Nunca recibí el pedido. ¡Evítenlo!,una estafa nunca recib el pedido evtenlo,0
Publicidad engañosa. Quiero mi dinero de vuelta.,publicidad engaosa quiero mi dinero de vuelta,2
"Sehr gutes Produkt, bin sehr zufrieden. Gerne wieder!",sehr gutes produkt bin sehr zufrieden gerne wieder,2
Outstanding customer experience from start to finish.,outstanding customer experience start finish,2
"Brilliant product, can't fault it at all.",brilliant product cant fault,2
Hervorragende Qualität. Würde ich sofort wieder kaufen.,hervorragende qualitt wrde ich sofort wieder kaufen,2
Exactly WHAT I was looking for. Great price.,exactly looking great price,2
Livraison lente mais le produit EST conforme. Acceptable.,livraison lente mais le produit est conforme acceptable,1
"Bin begeistert! QUALITÄT top, Lieferung blitzschnell.",bin begeistert qualitt top lieferung blitzschnell,2
"Average product, nothing to write home about. !!!",average product nothing write home,1
Works fine. I've SEEN better but I've also seen worse.,works fine ive seen better ive also seen worse,1
Ich liebe dieses Produkt! ⭐⭐⭐,ich liebe dieses produkt,2
Very disappointed. Nothing like the photos on the listing.,disappointed nothing like photos listing,0
Waste of MONEY. Don't buy this product.,waste money dont buy product,0
LLEGÓ dañado y el proceso de devolución fue una pesadilla.,lleg daado el proceso de devolucin fue una pesadilla,0
Arrived on time and works perfectly. Very SATISFIED.,arrived time works perfectly satisfied,2
Outstanding customer experience from start to finish.,outstanding customer experience start finish,2
Qualité déplorable. Retourné immédiatement.,qualit dplorable retourn immdiatement,0
Very pleased with this purchase. Quick delivery too!,pleased purchase quick delivery,2
Okay for the price. Don't expect premium quality.,okay price dont expect premium quality,1
PRODUIT basique. Satisfait à moitié.,produit basique satisfait moiti,1
Muy buena relación calidad-precio. Repetiré la COMPRA.,muy buena relacin calidadprecio repetir la compra,2
